Player,Pos,Number,FO,FOW,Hits,Plus/Minus,TO,Saves,ShotsFaced,MinutesPlayed,GAA
Lucas Brown,Goalie,1,0,0,0,0,0,26,13,60,1
Ben Edwards,Defense,4,0,0,0,0,3,0,0,0,0
Nick DeAngelo,Defense,6,0,0,0,0,0,0,0,0,0
Adam Zukowski,Forward,7,19,15,7,3,1,0,0,0,0
Nic Gingras,Forward,9,5,5,0,3,6,0,0,0,0
Zach Mangel,Forward,10,0,0,0,0,2,0,0,0,0
Daniel Kauber,Forward,11,0,0,0,0,0,0,0,0,0
Jack Gleason,Defense,12,0,0,0,3,3,0,0,0,0
Cam Glonek,Defense,14,0,0,0,0,6,0,0,0,0
Cuan Doig,Forward,16,18,10,0,0,0,0,0,0,0
Tommy Gilligan,Forward,17,1,1,0,3,0,0,0,0,0
Will Smith,Forward,19,2,1,1,1,2,0,0,0,0
Kevin Ma,Defense,20,0,0,0,0,0,0,0,0,0
Patrick O'Shaughnessy,Forward,21,28,10,0,3,1,0,0,0,0
Matt Grady,Forward,22,5,5,3,3,0,0,0,0,0
Nick Ansbacher,Forward,24,2,0,0,2,1,0,0,0,0
Will Hilton,Defense,26,0,0,0,0,2,0,0,0,0
Micheal Vaglia,Forward,28,15,8,0,0,0,0,0,0,0
Mekhi Ashford,Forward,33,0,0,0,0,0,0,0,0,0
Ander Andreev,Goalie,37,0,0,0,0,0,0,0,0,0
Florian Zajic,Defense,40,0,0,8,6,0,0,0,0,0
John Migliore,Defense,71,0,0,0,3,0,0,0,0,0
Spencer Haskell,Defense,74,0,0,0,0,0,0,0,0,0
Joey Wateska,Forward,76,0,0,0,0,0,0,0,0,0
Daniel Hu,Forward,91,0,0,0,0,0,0,0,0,0
Carson Rein,Forward,95,0,0,0,0,0,0,0,0,0
Chandler Kotseos,Forward,98,0,0,4,0,0,0,0,0,0
